sku,source_url,verification_date,last_checked,status,required_action
MSH-ETH-001,,,,Needs review,Find and verify exact source listing
MSH-ETH-002,,,,Needs review,Find and verify exact source listing
MSH-SET-003,,,,Needs review,Find and verify exact source listing
MSH-SET-004,,,,Needs review,Find and verify exact source listing
MSH-GWN-005,,,,Needs review,Find and verify exact source listing
MSH-GWN-006,,,,Needs review,Find and verify exact source listing
MSH-WES-007,,,,Needs review,Find and verify exact source listing
MSH-WES-008,,,,Needs review,Find and verify exact source listing
MSH-WES-009,,,,Needs review,Find and verify exact source listing
MSH-WES-010,,,,Needs review,Find and verify exact source listing
MSH-EXP-011,,,,Needs review,Find and verify exact source listing
MSH-EXP-012,,,,Needs review,Find and verify exact source listing
MSH-EXP-013,,,,Needs review,Find and verify exact source listing
MSH-EXP-014,,,,Needs review,Find and verify exact source listing
MSH-EXP-015,,,,Needs review,Find and verify exact source listing
MSH-EXP-016,https://www.meesho.com/trendy-multicolor-sleeveless-maxi-dress-for-women-stylish-rayon-long-dress-for-casual-party-wear-multy-gown-under-500/p/f27vd6,2026-08-30,2026-08-31,Active,Monitor daily; deployment pending
MSH-EXP-017,https://www.meesho.com/fancy-printed-round-neck-maxi-gown-with-dupatta-for-women-dress-under-500-gown-under-500/p/f9vl3t,2026-08-30,2026-08-31,Active,Monitor daily; review count increased to 40
MSH-EXP-018,https://www.meesho.com/womens-trendy-printed-cotton-blend-straight-co-ord-set-pista/p/88i66i,2026-08-30,2026-08-31,Active,Monitor daily; keep XXS withheld until measurements exist
MSH-EXP-019,https://www.meesho.com/red-cotton-kurti-set-for-women-sleeveless-kurta-pant-set-party-wear-kurta-set-for-women-kurti-set-under-500-2-piece-kurti-set-kurta-palazzo-set-stylish-kurti-set-for-women-cotton-ethnic-dress-for-women/p/f3bvtr,2026-08-30,2026-08-31,Active,Monitor daily; deployment pending
MSH-EXP-020,https://www.meesho.com/georgette-sttiched-anarkali-gown-and-dupatta-white/p/8jonju,2026-08-30,2026-08-31,Active,Monitor daily; review count increased to 1195
