sku,expected_images,present_images,source_match_qa,no_collage,no_watermark,status,notes
MSH-ETH-001,6,6,passed,yes,yes,Approved,Exact source match and six-image cross-view QA passed; product-info card corrected to verified pricing and free delivery
MSH-ETH-002,6,6,passed,yes,yes,Approved,Exact source image match and six-image cross-view QA passed; product-info card corrected to From ₹377 and FREE delivery
MSH-SET-003,6,6,passed,yes,yes,Approved,Exact source gallery match and six-image cross-view QA passed; information card corrected to ₹475 Sizes S–XXL and FREE delivery
MSH-WES-008,6,6,passed,yes,yes,Approved,Exact source match and six-image cross-view QA passed; information card corrected to From ₹479 and FREE Delivery
MSH-WES-010,6,6,passed,yes,yes,Approved,Exact source gallery match and six-image cross-view QA passed; information card corrected to ₹637 and FREE Delivery
MSH-EXP-015,6,6,pending,yes,pending,Needs review,Identity matches co-ord but exact source comparison is blocked
MSH-EXP-016,6,6,passed,yes,yes,Approved,Six individual watermark-free images promoted to public assets after cross-view QA
MSH-EXP-017,6,6,passed,yes,yes,Approved,Six individual watermark-free images promoted to public assets after cross-view QA
MSH-EXP-018,6,6,passed,yes,yes,Approved,Six individual watermark-free images promoted after cross-view QA; XXS remains withheld
MSH-EXP-019,6,6,passed,yes,yes,Approved,Six individual watermark-free images promoted after cross-view QA
MSH-EXP-020,6,6,passed,yes,yes,Approved,Six individual watermark-free images promoted after cross-view QA
MSH-EXP-026,6,6,passed,yes,yes,Approved,Six separate crop-safe 4:5 images preserve the exact black-and-beige diamond-print two-piece identity; supplier watermark is absent
